# test name, category, real vulnerability, cwe,Benchmark version: 1.1, 2015-05-22
BenchmarkTest00001,crypto,TRUE,327,,
BenchmarkTest00002,pathtraver,TRUE,22,,
BenchmarkTest00003,pathtraver,TRUE,22,,
BenchmarkTest00004,pathtraver,TRUE,22,,
BenchmarkTest00005,pathtraver,TRUE,22,,
BenchmarkTest00006,pathtraver,TRUE,22,,
BenchmarkTest00007,hash,TRUE,328,,
BenchmarkTest00008,hash,TRUE,328,,
BenchmarkTest00009,xss,FALSE,79,,
BenchmarkTest00010,xss,FALSE,79,,
BenchmarkTest00011,xss,FALSE,79,,
BenchmarkTest00012,xss,FALSE,79,,
BenchmarkTest00013,xss,FALSE,79,,
BenchmarkTest00014,xss,FALSE,79,,
BenchmarkTest00015,xss,FALSE,79,,
BenchmarkTest00016,weakrand,TRUE,330,,
BenchmarkTest00017,xss,FALSE,79,,
BenchmarkTest00018,cmdi,TRUE,78,,
BenchmarkTest00019,cmdi,TRUE,78,,
BenchmarkTest00020,cmdi,TRUE,78,,
BenchmarkTest00021,cmdi,TRUE,78,,
BenchmarkTest00022,weakrand,FALSE,330,,
BenchmarkTest00023,weakrand,FALSE,330,,
BenchmarkTest00024,weakrand,FALSE,330,,
BenchmarkTest00025,trustbound,TRUE,501,,
BenchmarkTest00026,sqli,TRUE,89,,
BenchmarkTest00027,sqli,TRUE,89,,
BenchmarkTest00028,sqli,TRUE,89,,
BenchmarkTest00029,sqli,TRUE,89,,
BenchmarkTest00030,sqli,TRUE,89,,
BenchmarkTest00031,xpathi,TRUE,643,,
BenchmarkTest00032,pathtraver,TRUE,22,,
BenchmarkTest00033,pathtraver,TRUE,22,,
BenchmarkTest00034,ldapi,TRUE,90,,
BenchmarkTest00035,weakrand,TRUE,330,,
BenchmarkTest00036,hash,FALSE,328,,
BenchmarkTest00037,xss,TRUE,79,,
BenchmarkTest00038,xss,TRUE,79,,
BenchmarkTest00039,xss,TRUE,79,,
BenchmarkTest00040,xss,TRUE,79,,
BenchmarkTest00041,xss,TRUE,79,,
BenchmarkTest00042,cmdi,TRUE,78,,
BenchmarkTest00043,weakrand,TRUE,330,,
BenchmarkTest00044,weakrand,TRUE,330,,
BenchmarkTest00045,cmdi,TRUE,78,,
BenchmarkTest00046,weakrand,FALSE,330,,
BenchmarkTest00047,weakrand,FALSE,330,,
BenchmarkTest00048,weakrand,FALSE,330,,
BenchmarkTest00049,weakrand,FALSE,330,,
BenchmarkTest00050,trustbound,TRUE,501,,
BenchmarkTest00051,trustbound,TRUE,501,,
BenchmarkTest00052,sqli,TRUE,89,,
BenchmarkTest00053,sqli,TRUE,89,,
BenchmarkTest00054,sqli,TRUE,89,,
BenchmarkTest00055,sqli,TRUE,89,,
BenchmarkTest00056,crypto,TRUE,327,,
BenchmarkTest00057,ldapi,TRUE,90,,
BenchmarkTest00058,pathtraver,TRUE,22,,
BenchmarkTest00059,pathtraver,TRUE,22,,
BenchmarkTest00060,pathtraver,TRUE,22,,
BenchmarkTest00061,pathtraver,TRUE,22,,
BenchmarkTest00062,hash,FALSE,328,,
BenchmarkTest00063,hash,FALSE,328,,
BenchmarkTest00064,xss,FALSE,79,,
BenchmarkTest00065,xss,FALSE,79,,
BenchmarkTest00066,xss,FALSE,79,,
BenchmarkTest00067,xss,FALSE,79,,
BenchmarkTest00068,xss,FALSE,79,,
BenchmarkTest00069,securecookie,TRUE,614,,
BenchmarkTest00070,xss,FALSE,79,,
BenchmarkTest00071,cmdi,TRUE,78,,
BenchmarkTest00072,cmdi,TRUE,78,,
BenchmarkTest00073,weakrand,FALSE,330,,
BenchmarkTest00074,weakrand,FALSE,330,,
BenchmarkTest00075,weakrand,FALSE,330,,
BenchmarkTest00076,trustbound,TRUE,501,,
BenchmarkTest00077,trustbound,TRUE,501,,
BenchmarkTest00078,sqli,TRUE,89,,
BenchmarkTest00079,sqli,TRUE,89,,
BenchmarkTest00080,sqli,TRUE,89,,
BenchmarkTest00081,sqli,TRUE,89,,
BenchmarkTest00082,sqli,TRUE,89,,
BenchmarkTest00083,sqli,TRUE,89,,
BenchmarkTest00084,crypto,FALSE,327,,
BenchmarkTest00085,crypto,FALSE,327,,
BenchmarkTest00086,crypto,FALSE,327,,
BenchmarkTest00087,crypto,TRUE,327,,
BenchmarkTest00088,ldapi,TRUE,90,,
BenchmarkTest00089,pathtraver,TRUE,22,,
BenchmarkTest00090,pathtraver,TRUE,22,,
BenchmarkTest00091,pathtraver,TRUE,22,,
BenchmarkTest00092,pathtraver,TRUE,22,,
BenchmarkTest00093,pathtraver,TRUE,22,,
BenchmarkTest00094,pathtraver,TRUE,22,,
BenchmarkTest00095,hash,TRUE,328,,
BenchmarkTest00096,xss,TRUE,79,,
BenchmarkTest00097,xss,TRUE,79,,
BenchmarkTest00098,xss,TRUE,79,,
BenchmarkTest00099,xss,TRUE,79,,
BenchmarkTest00100,xss,TRUE,79,,
BenchmarkTest00101,weakrand,TRUE,330,,
BenchmarkTest00102,weakrand,TRUE,330,,
BenchmarkTest00103,weakrand,TRUE,330,,
BenchmarkTest00104,weakrand,TRUE,330,,
BenchmarkTest00105,cmdi,TRUE,78,,
BenchmarkTest00106,cmdi,TRUE,78,,
BenchmarkTest00107,cmdi,TRUE,78,,
BenchmarkTest00108,weakrand,FALSE,330,,
BenchmarkTest00109,weakrand,FALSE,330,,
BenchmarkTest00110,weakrand,FALSE,330,,
BenchmarkTest00111,weakrand,FALSE,330,,
BenchmarkTest00112,sqli,TRUE,89,,
BenchmarkTest00113,sqli,TRUE,89,,
BenchmarkTest00114,sqli,TRUE,89,,
BenchmarkTest00115,sqli,TRUE,89,,
BenchmarkTest00116,sqli,TRUE,89,,
BenchmarkTest00117,xpathi,TRUE,643,,
BenchmarkTest00118,crypto,TRUE,327,,
BenchmarkTest00119,hash,TRUE,328,,
BenchmarkTest00120,weakrand,TRUE,330,,
BenchmarkTest00121,weakrand,FALSE,330,,
BenchmarkTest00122,weakrand,FALSE,330,,
BenchmarkTest00123,weakrand,FALSE,330,,
BenchmarkTest00124,weakrand,FALSE,330,,
BenchmarkTest00125,crypto,FALSE,327,,
BenchmarkTest00126,crypto,TRUE,327,,
BenchmarkTest00127,pathtraver,TRUE,22,,
BenchmarkTest00128,pathtraver,TRUE,22,,
BenchmarkTest00129,pathtraver,TRUE,22,,
BenchmarkTest00130,pathtraver,TRUE,22,,
BenchmarkTest00131,hash,FALSE,328,,
BenchmarkTest00132,hash,TRUE,328,,
BenchmarkTest00133,xss,TRUE,79,,
BenchmarkTest00134,xss,TRUE,79,,
BenchmarkTest00135,xss,TRUE,79,,
BenchmarkTest00136,xss,TRUE,79,,
BenchmarkTest00137,cmdi,TRUE,78,,
BenchmarkTest00138,cmdi,TRUE,78,,
BenchmarkTest00139,weakrand,TRUE,330,,
BenchmarkTest00140,weakrand,TRUE,330,,
BenchmarkTest00141,weakrand,TRUE,330,,
BenchmarkTest00142,securecookie,TRUE,614,,
BenchmarkTest00143,cmdi,TRUE,78,,
BenchmarkTest00144,cmdi,TRUE,78,,
BenchmarkTest00145,cmdi,TRUE,78,,
BenchmarkTest00146,weakrand,FALSE,330,,
BenchmarkTest00147,weakrand,FALSE,330,,
BenchmarkTest00148,weakrand,FALSE,330,,
BenchmarkTest00149,weakrand,FALSE,330,,
BenchmarkTest00150,trustbound,TRUE,501,,
BenchmarkTest00151,sqli,TRUE,89,,
BenchmarkTest00152,sqli,TRUE,89,,
BenchmarkTest00153,sqli,TRUE,89,,
BenchmarkTest00154,sqli,TRUE,89,,
BenchmarkTest00155,sqli,TRUE,89,,
BenchmarkTest00156,sqli,TRUE,89,,
BenchmarkTest00157,sqli,TRUE,89,,
BenchmarkTest00158,crypto,FALSE,327,,
BenchmarkTest00159,crypto,TRUE,327,,
BenchmarkTest00160,ldapi,TRUE,90,,
BenchmarkTest00161,ldapi,TRUE,90,,
BenchmarkTest00162,pathtraver,TRUE,22,,
BenchmarkTest00163,pathtraver,TRUE,22,,
BenchmarkTest00164,hash,FALSE,328,,
BenchmarkTest00165,hash,TRUE,328,,
BenchmarkTest00166,xss,TRUE,79,,
BenchmarkTest00167,xss,TRUE,79,,
BenchmarkTest00168,xss,TRUE,79,,
BenchmarkTest00169,xss,TRUE,79,,
BenchmarkTest00170,xss,TRUE,79,,
BenchmarkTest00171,xss,TRUE,79,,
BenchmarkTest00172,xss,TRUE,79,,
BenchmarkTest00173,cmdi,TRUE,78,,
BenchmarkTest00174,cmdi,TRUE,78,,
BenchmarkTest00175,weakrand,TRUE,330,,
BenchmarkTest00176,weakrand,TRUE,330,,
BenchmarkTest00177,securecookie,TRUE,614,,
BenchmarkTest00178,securecookie,FALSE,614,,
BenchmarkTest00179,cmdi,TRUE,78,,
BenchmarkTest00180,cmdi,TRUE,78,,
BenchmarkTest00181,cmdi,TRUE,78,,
BenchmarkTest00182,weakrand,FALSE,330,,
BenchmarkTest00183,weakrand,FALSE,330,,
BenchmarkTest00184,weakrand,FALSE,330,,
BenchmarkTest00185,weakrand,FALSE,330,,
BenchmarkTest00186,trustbound,TRUE,501,,
BenchmarkTest00187,sqli,TRUE,89,,
BenchmarkTest00188,sqli,TRUE,89,,
BenchmarkTest00189,sqli,TRUE,89,,
BenchmarkTest00190,xpathi,TRUE,643,,
BenchmarkTest00191,crypto,TRUE,327,,
BenchmarkTest00192,pathtraver,TRUE,22,,
BenchmarkTest00193,pathtraver,TRUE,22,,
BenchmarkTest00194,pathtraver,TRUE,22,,
BenchmarkTest00195,ldapi,TRUE,90,,
BenchmarkTest00196,weakrand,TRUE,330,,
BenchmarkTest00197,hash,TRUE,328,,
BenchmarkTest00198,hash,FALSE,328,,
BenchmarkTest00199,hash,TRUE,328,,
BenchmarkTest00200,xss,TRUE,79,,
BenchmarkTest00201,xss,TRUE,79,,
BenchmarkTest00202,xss,TRUE,79,,
BenchmarkTest00203,xss,TRUE,79,,
BenchmarkTest00204,cmdi,TRUE,78,,
BenchmarkTest00205,weakrand,TRUE,330,,
BenchmarkTest00206,securecookie,FALSE,614,,
BenchmarkTest00207,cmdi,TRUE,78,,
BenchmarkTest00208,cmdi,TRUE,78,,
BenchmarkTest00209,cmdi,TRUE,78,,
BenchmarkTest00210,cmdi,TRUE,78,,
BenchmarkTest00211,cmdi,TRUE,78,,
BenchmarkTest00212,weakrand,FALSE,330,,
BenchmarkTest00213,weakrand,FALSE,330,,
BenchmarkTest00214,trustbound,TRUE,501,,
BenchmarkTest00215,trustbound,TRUE,501,,
BenchmarkTest00216,sqli,TRUE,89,,
BenchmarkTest00217,sqli,TRUE,89,,
BenchmarkTest00218,sqli,TRUE,89,,
BenchmarkTest00219,crypto,FALSE,327,,
BenchmarkTest00220,pathtraver,TRUE,22,,
BenchmarkTest00221,pathtraver,TRUE,22,,
BenchmarkTest00222,pathtraver,TRUE,22,,
BenchmarkTest00223,ldapi,TRUE,90,,
BenchmarkTest00224,ldapi,TRUE,90,,
